"Statistic Label","Year","Nationality of Ownership","UNIT","VALUE"
"Actual Capital Expenditure - Software purchased wholly for Research and Development purposes","2024","Irish ownership","Euro Thousand",""
"Actual Capital Expenditure - Software purchased wholly for Research and Development purposes","2024","Non Irish ownership","Euro Thousand",""
"Actual Capital Expenditure - Software development by company in-house and used in-house","2007","All nationalities of ownership","Euro Thousand",""
"Actual Capital Expenditure - Software development by company in-house and used in-house","2007","Irish ownership","Euro Thousand",""
"Actual Capital Expenditure - Software development by company in-house and used in-house","2007","Non Irish ownership","Euro Thousand",""
"Actual Capital Expenditure - Software development by company in-house and used in-house","2008","All nationalities of ownership","Euro Thousand",""
"Actual Capital Expenditure - Software development by company in-house and used in-house","2008","Irish ownership","Euro Thousand",""
"Actual Capital Expenditure - Software development by company in-house and used in-house","2008","Non Irish ownership","Euro Thousand",""
"Actual Capital Expenditure - Software development by company in-house and used in-house","2009","All nationalities of ownership","Euro Thousand","2666"
"Actual Capital Expenditure - Software development by company in-house and used in-house","2009","Irish ownership","Euro Thousand","2412"
"Actual Capital Expenditure - Software development by company in-house and used in-house","2009","Non Irish ownership","Euro Thousand","254"
"Actual Capital Expenditure - Software development by company in-house and used in-house","2010","All nationalities of ownership","Euro Thousand",""
"Actual Capital Expenditure - Software development by company in-house and used in-house","2010","Irish ownership","Euro Thousand",""
"Actual Capital Expenditure - Software development by company in-house and used in-house","2010","Non Irish ownership","Euro Thousand",""
"Actual Capital Expenditure - Software development by company in-house and used in-house","2011","All nationalities of ownership","Euro Thousand","6610"
"Actual Capital Expenditure - Software development by company in-house and used in-house","2011","Irish ownership","Euro Thousand","2401"
"Actual Capital Expenditure - Software development by company in-house and used in-house","2011","Non Irish ownership","Euro Thousand","4208"
"Actual Capital Expenditure - Software development by company in-house and used in-house","2012","All nationalities of ownership","Euro Thousand",""
"Actual Capital Expenditure - Software development by company in-house and used in-house","2012","Irish ownership","Euro Thousand",""
"Actual Capital Expenditure - Software development by company in-house and used in-house","2012","Non Irish ownership","Euro Thousand",""
"Actual Capital Expenditure - Software development by company in-house and used in-house","2013","All nationalities of ownership","Euro Thousand","16899"
"Actual Capital Expenditure - Software development by company in-house and used in-house","2013","Irish ownership","Euro Thousand","13781"
"Actual Capital Expenditure - Software development by company in-house and used in-house","2013","Non Irish ownership","Euro Thousand","3118"
"Actual Capital Expenditure - Software development by company in-house and used in-house","2014","All nationalities of ownership","Euro Thousand",""
"Actual Capital Expenditure - Software development by company in-house and used in-house","2014","Irish ownership","Euro Thousand",""
"Actual Capital Expenditure - Software development by company in-house and used in-house","2014","Non Irish ownership","Euro Thousand",""
"Actual Capital Expenditure - Software development by company in-house and used in-house","2015","All nationalities of ownership","Euro Thousand","19106"
"Actual Capital Expenditure - Software development by company in-house and used in-house","2015","Irish ownership","Euro Thousand","14716"
"Actual Capital Expenditure - Software development by company in-house and used in-house","2015","Non Irish ownership","Euro Thousand","4389"
"Actual Capital Expenditure - Software development by company in-house and used in-house","2016","All nationalities of ownership","Euro Thousand",""
"Actual Capital Expenditure - Software development by company in-house and used in-house","2016","Irish ownership","Euro Thousand",""
"Actual Capital Expenditure - Software development by company in-house and used in-house","2016","Non Irish ownership","Euro Thousand",""
"Actual Capital Expenditure - Software development by company in-house and used in-house","2017","All nationalities of ownership","Euro Thousand","30123"
"Actual Capital Expenditure - Software development by company in-house and used in-house","2017","Irish ownership","Euro Thousand","26365"
"Actual Capital Expenditure - Software development by company in-house and used in-house","2017","Non Irish ownership","Euro Thousand","3759"
"Actual Capital Expenditure - Software development by company in-house and used in-house","2018","All nationalities of ownership","Euro Thousand",""
"Actual Capital Expenditure - Software development by company in-house and used in-house","2018","Irish ownership","Euro Thousand",""
"Actual Capital Expenditure - Software development by company in-house and used in-house","2018","Non Irish ownership","Euro Thousand",""
"Actual Capital Expenditure - Software development by company in-house and used in-house","2019","All nationalities of ownership","Euro Thousand","205199"
"Actual Capital Expenditure - Software development by company in-house and used in-house","2019","Irish ownership","Euro Thousand","192071"
"Actual Capital Expenditure - Software development by company in-house and used in-house","2019","Non Irish ownership","Euro Thousand","13128"
"Actual Capital Expenditure - Software development by company in-house and used in-house","2020","All nationalities of ownership","Euro Thousand",""
"Actual Capital Expenditure - Software development by company in-house and used in-house","2020","Irish ownership","Euro Thousand",""
"Actual Capital Expenditure - Software development by company in-house and used in-house","2020","Non Irish ownership","Euro Thousand",""
"Actual Capital Expenditure - Software development by company in-house and used in-house","2021","All nationalities of ownership","Euro Thousand","155197"
"Actual Capital Expenditure - Software development by company in-house and used in-house","2021","Irish ownership","Euro Thousand","105252"
"Actual Capital Expenditure - Software development by company in-house and used in-house","2021","Non Irish ownership","Euro Thousand","49945"
"Actual Capital Expenditure - Software development by company in-house and used in-house","2022","All nationalities of ownership","Euro Thousand",""
"Actual Capital Expenditure - Software development by company in-house and used in-house","2022","Irish ownership","Euro Thousand",""
"Actual Capital Expenditure - Software development by company in-house and used in-house","2022","Non Irish ownership","Euro Thousand",""
"Actual Capital Expenditure - Software development by company in-house and used in-house","2023","All nationalities of ownership","Euro Thousand",""
"Actual Capital Expenditure - Software development by company in-house and used in-house","2023","Irish ownership","Euro Thousand",""
"Actual Capital Expenditure - Software development by company in-house and used in-house","2023","Non Irish ownership","Euro Thousand",""
"Actual Capital Expenditure - Software development by company in-house and used in-house","2024","All nationalities of ownership","Euro Thousand",""
"Actual Capital Expenditure - Software development by company in-house and used in-house","2024","Irish ownership","Euro Thousand",""
"Actual Capital Expenditure - Software development by company in-house and used in-house","2024","Non Irish ownership","Euro Thousand",""
"Actual Total Capital Expenditure","2007","All nationalities of ownership","Euro Thousand","279271"
"Actual Total Capital Expenditure","2007","Irish ownership","Euro Thousand","32384"
"Actual Total Capital Expenditure","2007","Non Irish ownership","Euro Thousand","246887"
"Actual Total Capital Expenditure","2008","All nationalities of ownership","Euro Thousand",""
"Actual Total Capital Expenditure","2008","Irish ownership","Euro Thousand",""
"Actual Total Capital Expenditure","2008","Non Irish ownership","Euro Thousand",""
"Actual Total Capital Expenditure","2009","All nationalities of ownership","Euro Thousand","325613"
"Actual Total Capital Expenditure","2009","Irish ownership","Euro Thousand","91040"
"Actual Total Capital Expenditure","2009","Non Irish ownership","Euro Thousand","234573"
"Actual Total Capital Expenditure","2010","All nationalities of ownership","Euro Thousand",""
"Actual Total Capital Expenditure","2010","Irish ownership","Euro Thousand",""
"Actual Total Capital Expenditure","2010","Non Irish ownership","Euro Thousand",""
"Actual Total Capital Expenditure","2011","All nationalities of ownership","Euro Thousand","150314"
"Actual Total Capital Expenditure","2011","Irish ownership","Euro Thousand","40767"
"Actual Total Capital Expenditure","2011","Non Irish ownership","Euro Thousand","109547"
"Actual Total Capital Expenditure","2012","All nationalities of ownership","Euro Thousand",""
"Actual Total Capital Expenditure","2012","Irish ownership","Euro Thousand",""
"Actual Total Capital Expenditure","2012","Non Irish ownership","Euro Thousand",""
"Actual Total Capital Expenditure","2013","All nationalities of ownership","Euro Thousand","147200"
"Actual Total Capital Expenditure","2013","Irish ownership","Euro Thousand","58056"
"Actual Total Capital Expenditure","2013","Non Irish ownership","Euro Thousand","89144"
"Actual Total Capital Expenditure","2014","All nationalities of ownership","Euro Thousand",""
"Actual Total Capital Expenditure","2014","Irish ownership","Euro Thousand",""
"Actual Total Capital Expenditure","2014","Non Irish ownership","Euro Thousand",""
"Actual Total Capital Expenditure","2015","All nationalities of ownership","Euro Thousand","157102"
"Actual Total Capital Expenditure","2015","Irish ownership","Euro Thousand","58912"
"Actual Total Capital Expenditure","2015","Non Irish ownership","Euro Thousand","98190"
"Actual Total Capital Expenditure","2016","All nationalities of ownership","Euro Thousand",""
"Actual Total Capital Expenditure","2016","Irish ownership","Euro Thousand",""
"Actual Total Capital Expenditure","2016","Non Irish ownership","Euro Thousand",""
"Actual Total Capital Expenditure","2017","All nationalities of ownership","Euro Thousand","278041"
"Actual Total Capital Expenditure","2017","Irish ownership","Euro Thousand","95090"
"Actual Total Capital Expenditure","2017","Non Irish ownership","Euro Thousand","182951"
"Actual Total Capital Expenditure","2018","All nationalities of ownership","Euro Thousand",""
"Actual Total Capital Expenditure","2018","Irish ownership","Euro Thousand",""
"Actual Total Capital Expenditure","2018","Non Irish ownership","Euro Thousand",""
"Actual Total Capital Expenditure","2019","All nationalities of ownership","Euro Thousand","555707"
"Actual Total Capital Expenditure","2019","Irish ownership","Euro Thousand","238007"
"Actual Total Capital Expenditure","2019","Non Irish ownership","Euro Thousand","317699"
"Actual Total Capital Expenditure","2020","All nationalities of ownership","Euro Thousand",""
"Actual Total Capital Expenditure","2020","Irish ownership","Euro Thousand",""
"Actual Total Capital Expenditure","2020","Non Irish ownership","Euro Thousand",""
"Actual Total Capital Expenditure","2021","All nationalities of ownership","Euro Thousand","440053"
"Actual Total Capital Expenditure","2021","Irish ownership","Euro Thousand","211835"
"Actual Total Capital Expenditure","2021","Non Irish ownership","Euro Thousand","228217"
"Actual Total Capital Expenditure","2022","All nationalities of ownership","Euro Thousand",""
"Actual Total Capital Expenditure","2022","Irish ownership","Euro Thousand",""
"Actual Total Capital Expenditure","2022","Non Irish ownership","Euro Thousand",""
"Actual Total Capital Expenditure","2023","All nationalities of ownership","Euro Thousand","2411792"
"Actual Total Capital Expenditure","2023","Irish ownership","Euro Thousand",""
"Actual Total Capital Expenditure","2023","Non Irish ownership","Euro Thousand",""
"Actual Total Capital Expenditure","2024","All nationalities of ownership","Euro Thousand",""
"Actual Total Capital Expenditure","2024","Irish ownership","Euro Thousand",""
"Actual Total Capital Expenditure","2024","Non Irish ownership","Euro Thousand",""
"Actual Total Research and Development Expenditure","2007","All nationalities of ownership","Euro Thousand","1603185"
"Actual Total Research and Development Expenditure","2007","Irish ownership","Euro Thousand","443010"
"Actual Total Research and Development Expenditure","2007","Non Irish ownership","Euro Thousand","1160174"
"Actual Total Research and Development Expenditure","2008","All nationalities of ownership","Euro Thousand",""
"Actual Total Research and Development Expenditure","2008","Irish ownership","Euro Thousand",""
"Actual Total Research and Development Expenditure","2008","Non Irish ownership","Euro Thousand",""
"Actual Total Research and Development Expenditure","2009","All nationalities of ownership","Euro Thousand","1868456"
"Actual Total Research and Development Expenditure","2009","Irish ownership","Euro Thousand","563217"
"Actual Total Research and Development Expenditure","2009","Non Irish ownership","Euro Thousand","1305239"
"Actual Total Research and Development Expenditure","2010","All nationalities of ownership","Euro Thousand",""
"Actual Total Research and Development Expenditure","2010","Irish ownership","Euro Thousand",""
"Actual Total Research and Development Expenditure","2010","Non Irish ownership","Euro Thousand",""
"Actual Total Research and Development Expenditure","2011","All nationalities of ownership","Euro Thousand","1757225"
"Actual Total Research and Development Expenditure","2011","Irish ownership","Euro Thousand","536868"
"Actual Total Research and Development Expenditure","2011","Non Irish ownership","Euro Thousand","1220357"
"Actual Total Research and Development Expenditure","2012","All nationalities of ownership","Euro Thousand",""
"Actual Total Research and Development Expenditure","2012","Irish ownership","Euro Thousand",""
"Actual Total Research and Development Expenditure","2012","Non Irish ownership","Euro Thousand",""
"Actual Total Research and Development Expenditure","2013","All nationalities of ownership","Euro Thousand","2021863"
"Actual Total Research and Development Expenditure","2013","Irish ownership","Euro Thousand","703121"
"Actual Total Research and Development Expenditure","2013","Non Irish ownership","Euro Thousand","1318742"
"Actual Total Research and Development Expenditure","2014","All nationalities of ownership","Euro Thousand",""
"Actual Total Research and Development Expenditure","2014","Irish ownership","Euro Thousand",""
"Actual Total Research and Development Expenditure","2014","Non Irish ownership","Euro Thousand",""
"Actual Total Research and Development Expenditure","2015","All nationalities of ownership","Euro Thousand","2233057"
"Actual Total Research and Development Expenditure","2015","Irish ownership","Euro Thousand","809662"
"Actual Total Research and Development Expenditure","2015","Non Irish ownership","Euro Thousand","1423395"
"Actual Total Research and Development Expenditure","2016","All nationalities of ownership","Euro Thousand",""
"Actual Total Research and Development Expenditure","2016","Irish ownership","Euro Thousand",""
"Actual Total Research and Development Expenditure","2016","Non Irish ownership","Euro Thousand",""
"Actual Total Research and Development Expenditure","2017","All nationalities of ownership","Euro Thousand","2770214"
"Actual Total Research and Development Expenditure","2017","Irish ownership","Euro Thousand","858849"
"Actual Total Research and Development Expenditure","2017","Non Irish ownership","Euro Thousand","1911365"
"Actual Total Research and Development Expenditure","2018","All nationalities of ownership","Euro Thousand",""
"Actual Total Research and Development Expenditure","2018","Irish ownership","Euro Thousand",""
"Actual Total Research and Development Expenditure","2018","Non Irish ownership","Euro Thousand",""
"Actual Total Research and Development Expenditure","2019","All nationalities of ownership","Euro Thousand","3256295"
"Actual Total Research and Development Expenditure","2019","Irish ownership","Euro Thousand","962985"
"Actual Total Research and Development Expenditure","2019","Non Irish ownership","Euro Thousand","2293309"
"Actual Total Research and Development Expenditure","2020","All nationalities of ownership","Euro Thousand",""
"Actual Total Research and Development Expenditure","2020","Irish ownership","Euro Thousand",""
"Actual Total Research and Development Expenditure","2020","Non Irish ownership","Euro Thousand",""
"Actual Total Research and Development Expenditure","2021","All nationalities of ownership","Euro Thousand","3879007"
"Actual Total Research and Development Expenditure","2021","Irish ownership","Euro Thousand","1177296"
"Actual Total Research and Development Expenditure","2021","Non Irish ownership","Euro Thousand","2701711"
"Actual Total Research and Development Expenditure","2022","All nationalities of ownership","Euro Thousand",""
"Actual Total Research and Development Expenditure","2022","Irish ownership","Euro Thousand",""
"Actual Total Research and Development Expenditure","2022","Non Irish ownership","Euro Thousand",""
"Actual Total Research and Development Expenditure","2023","All nationalities of ownership","Euro Thousand","7003745"
"Actual Total Research and Development Expenditure","2023","Irish ownership","Euro Thousand","1132247"
"Actual Total Research and Development Expenditure","2023","Non Irish ownership","Euro Thousand","5871498"
"Actual Total Research and Development Expenditure","2024","All nationalities of ownership","Euro Thousand",""
"Actual Total Research and Development Expenditure","2024","Irish ownership","Euro Thousand",""
"Actual Total Research and Development Expenditure","2024","Non Irish ownership","Euro Thousand",""
